img1,img2,total_votes,entropy,draw_rate
img_00000_patch_0.png,img_00041_patch_7.png,1,0.0,0.0
img_00000_patch_0.png,img_00240_patch_4.png,1,0.0,0.0
img_00000_patch_0.png,img_00263_patch_6.png,1,0.0,0.0
img_00000_patch_0.png,img_00264_patch_2.png,1,0.0,0.0
img_00000_patch_0.png,img_00276_patch_0.png,2,0.0,0.0
img_00000_patch_0.png,img_00482_patch_4.png,2,0.0,0.0
img_00000_patch_0.png,img_00501_patch_0.png,1,0.0,0.0
img_00000_patch_0.png,img_00544_patch_0.png,1,0.0,0.0
img_00000_patch_0.png,img_00649_patch_6.png,2,0.0,0.0
img_00000_patch_1.png,img_00006_patch_7.png,3,0.0,0.0
img_00000_patch_1.png,img_00053_patch_3.png,2,0.0,0.0
img_00000_patch_1.png,img_00055_patch_6.png,2,0.0,0.0
img_00000_patch_1.png,img_00070_patch_4.png,2,0.0,0.0
img_00000_patch_1.png,img_00078_patch_8.png,2,0.0,0.0
img_00000_patch_1.png,img_00145_patch_8.png,2,0.0,0.0
img_00000_patch_1.png,img_00154_patch_8.png,3,0.0,0.0
img_00000_patch_1.png,img_00225_patch_8.png,2,0.0,0.0
img_00000_patch_1.png,img_00267_patch_8.png,2,0.0,0.0
img_00000_patch_1.png,img_00403_patch_7.png,2,0.0,0.0
img_00000_patch_1.png,img_00590_patch_4.png,2,0.0,0.0
img_00000_patch_1.png,img_00740_patch_5.png,3,0.0,0.0
img_00000_patch_2.png,img_00012_patch_4.png,1,0.0,0.0
img_00000_patch_2.png,img_00041_patch_7.png,1,0.0,0.0
img_00000_patch_2.png,img_00088_patch_8.png,1,0.0,0.0
img_00000_patch_2.png,img_00107_patch_2.png,1,0.0,0.0
img_00000_patch_2.png,img_00121_patch_4.png,1,0.0,0.0
img_00000_patch_2.png,img_00142_patch_6.png,1,0.0,0.0
img_00000_patch_2.png,img_00164_patch_0.png,1,0.0,0.0
img_00000_patch_2.png,img_00164_patch_2.png,1,0.0,0.0
img_00000_patch_2.png,img_00325_patch_3.png,1,0.0,0.0
img_00000_patch_2.png,img_00526_patch_7.png,1,0.0,0.0
img_00000_patch_2.png,img_00573_patch_2.png,1,0.0,0.0
img_00000_patch_2.png,img_00610_patch_5.png,1,0.0,0.0
img_00000_patch_2.png,img_00632_patch_3.png,1,0.0,0.0
img_00000_patch_2.png,img_00646_patch_8.png,1,0.0,0.0
img_00000_patch_2.png,img_00680_patch_4.png,10,0.0,0.0
img_00000_patch_2.png,img_00714_patch_8.png,1,0.0,0.0
img_00000_patch_3.png,img_00057_patch_3.png,1,0.0,0.0
img_00000_patch_3.png,img_00257_patch_3.png,1,0.0,0.0
img_00000_patch_3.png,img_00412_patch_7.png,1,0.0,0.0
img_00000_patch_3.png,img_00433_patch_5.png,1,0.0,0.0
img_00000_patch_3.png,img_00454_patch_1.png,2,0.0,0.0
img_00000_patch_3.png,img_00585_patch_2.png,1,0.0,0.0
img_00000_patch_3.png,img_00597_patch_1.png,1,0.0,0.0
img_00000_patch_3.png,img_00639_patch_6.png,1,0.0,0.0
img_00000_patch_3.png,img_00680_patch_6.png,1,0.0,0.0
img_00000_patch_3.png,img_00714_patch_1.png,1,0.0,0.0
img_00000_patch_3.png,img_00742_patch_4.png,1,0.0,0.0
img_00000_patch_3.png,img_00758_patch_8.png,1,0.0,0.0
img_00000_patch_4.png,img_00058_patch_2.png,1,0.0,0.0
img_00000_patch_4.png,img_00206_patch_1.png,1,0.0,0.0
img_00000_patch_4.png,img_00325_patch_0.png,1,0.0,0.0
img_00000_patch_4.png,img_00512_patch_8.png,1,0.0,0.0
img_00000_patch_4.png,img_00700_patch_5.png,1,0.0,0.0
img_00000_patch_4.png,img_00702_patch_6.png,1,0.0,0.0
img_00000_patch_4.png,img_00713_patch_0.png,1,0.0,0.0
img_00000_patch_4.png,img_00715_patch_2.png,1,0.0,0.0
img_00000_patch_4.png,img_00762_patch_7.png,1,0.0,0.0
img_00000_patch_5.png,img_00356_patch_3.png,1,0.0,0.0
img_00000_patch_5.png,img_00521_patch_3.png,1,0.0,0.0
img_00000_patch_5.png,img_00571_patch_7.png,1,0.0,0.0
img_00000_patch_5.png,img_00733_patch_5.png,2,0.0,0.0
img_00000_patch_5.png,img_00755_patch_0.png,1,0.0,0.0
img_00000_patch_6.png,img_00149_patch_3.png,2,0.0,0.0
img_00000_patch_6.png,img_00158_patch_8.png,2,0.0,0.0
img_00000_patch_6.png,img_00195_patch_5.png,3,0.6365141682948128,0.0
img_00000_patch_6.png,img_00493_patch_0.png,1,0.0,0.0
img_00000_patch_6.png,img_00529_patch_6.png,3,0.0,0.0
img_00000_patch_6.png,img_00726_patch_8.png,3,0.0,0.0
img_00000_patch_7.png,img_00047_patch_5.png,1,0.0,0.0
img_00000_patch_7.png,img_00119_patch_8.png,1,0.0,0.0
img_00000_patch_7.png,img_00170_patch_0.png,1,0.0,0.0
img_00000_patch_7.png,img_00270_patch_5.png,1,0.0,0.0
img_00000_patch_7.png,img_00297_patch_1.png,1,0.0,0.0
img_00000_patch_7.png,img_00322_patch_4.png,1,0.0,0.0
img_00000_patch_7.png,img_00539_patch_3.png,1,0.0,0.0
img_00000_patch_7.png,img_00700_patch_3.png,1,0.0,0.0
img_00000_patch_7.png,img_00741_patch_5.png,1,0.0,0.0
img_00000_patch_7.png,img_00774_patch_3.png,1,0.0,0.0
img_00000_patch_8.png,img_00151_patch_6.png,1,0.0,0.0
img_00000_patch_8.png,img_00237_patch_3.png,1,0.0,0.0
img_00000_patch_8.png,img_00355_patch_5.png,1,0.0,0.0
img_00000_patch_8.png,img_00359_patch_5.png,1,0.0,0.0
img_00000_patch_8.png,img_00440_patch_5.png,2,0.0,0.0
img_00000_patch_8.png,img_00458_patch_6.png,1,0.0,0.0
img_00000_patch_8.png,img_00509_patch_7.png,1,0.0,0.0
img_00000_patch_8.png,img_00522_patch_8.png,1,0.0,0.0
img_00000_patch_8.png,img_00666_patch_3.png,1,0.0,0.0
img_00001_patch_0.png,img_00103_patch_8.png,1,0.0,0.0
img_00001_patch_0.png,img_00144_patch_1.png,1,0.0,0.0
img_00001_patch_0.png,img_00150_patch_6.png,1,0.0,0.0
img_00001_patch_0.png,img_00231_patch_5.png,1,0.0,0.0
img_00001_patch_0.png,img_00268_patch_8.png,1,0.0,0.0
img_00001_patch_0.png,img_00271_patch_4.png,1,0.0,0.0
img_00001_patch_0.png,img_00303_patch_4.png,1,0.0,0.0
img_00001_patch_0.png,img_00365_patch_3.png,1,0.0,0.0
img_00001_patch_0.png,img_00438_patch_6.png,1,0.0,0.0
img_00001_patch_0.png,img_00551_patch_4.png,1,0.0,0.0
img_00001_patch_0.png,img_00656_patch_1.png,1,0.0,0.0
img_00001_patch_0.png,img_00666_patch_1.png,1,0.0,0.0
img_00001_patch_0.png,img_00673_patch_5.png,2,0.0,0.0
img_00001_patch_0.png,img_00676_patch_1.png,1,0.0,0.0
img_00001_patch_0.png,img_00717_patch_6.png,1,0.0,0.0
img_00001_patch_1.png,img_00113_patch_3.png,1,0.0,0.0
img_00001_patch_1.png,img_00147_patch_4.png,1,0.0,0.0
img_00001_patch_1.png,img_00292_patch_7.png,1,0.0,0.0
img_00001_patch_1.png,img_00361_patch_6.png,1,0.0,0.0
img_00001_patch_1.png,img_00598_patch_0.png,1,0.0,0.0
img_00001_patch_2.png,img_00015_patch_3.png,1,0.0,0.0
img_00001_patch_2.png,img_00085_patch_5.png,1,0.0,0.0
img_00001_patch_2.png,img_00181_patch_5.png,1,0.0,0.0
img_00001_patch_2.png,img_00232_patch_2.png,1,0.0,0.0
img_00001_patch_2.png,img_00432_patch_7.png,1,0.0,0.0
img_00001_patch_2.png,img_00538_patch_1.png,1,0.0,0.0
img_00001_patch_2.png,img_00612_patch_0.png,10,0.0,0.0
img_00001_patch_2.png,img_00622_patch_2.png,1,0.0,0.0
img_00001_patch_2.png,img_00641_patch_7.png,1,0.0,0.0
img_00001_patch_3.png,img_00073_patch_8.png,1,0.0,0.0
img_00001_patch_3.png,img_00116_patch_5.png,1,0.0,0.0
img_00001_patch_3.png,img_00171_patch_6.png,1,0.0,0.0
img_00001_patch_3.png,img_00212_patch_4.png,1,0.0,0.0
img_00001_patch_3.png,img_00248_patch_8.png,1,0.0,0.0
img_00001_patch_3.png,img_00253_patch_8.png,1,0.0,0.0
img_00001_patch_3.png,img_00289_patch_3.png,1,0.0,0.0
img_00001_patch_3.png,img_00300_patch_0.png,1,0.0,0.0
img_00001_patch_3.png,img_00418_patch_8.png,1,0.0,0.0
img_00001_patch_3.png,img_00424_patch_1.png,1,0.0,0.0
img_00001_patch_3.png,img_00527_patch_0.png,1,0.0,0.0
img_00001_patch_3.png,img_00582_patch_2.png,1,0.0,0.0
img_00001_patch_3.png,img_00617_patch_2.png,1,0.0,0.0
img_00001_patch_3.png,img_00655_patch_1.png,1,0.0,0.0
img_00001_patch_4.png,img_00202_patch_5.png,1,0.0,0.0
img_00001_patch_4.png,img_00261_patch_4.png,1,0.0,0.0
img_00001_patch_4.png,img_00318_patch_3.png,1,0.0,0.0
img_00001_patch_4.png,img_00419_patch_2.png,1,0.0,0.0
img_00001_patch_4.png,img_00487_patch_2.png,1,0.0,0.0
